9.514557630489521856e-01 1.357803799630702457e+01 -4.784371665749942437e+00 3.689895677552114339e+00 2.679643239012816025e+01 -2.007364788790757757e+02 -1.241260919365779785e+02 7.500000000000000000e+01 1.000000000000000000e+00
2.024965554976484172e-01 1.239241601852243591e+01 -2.432982053290191349e-01 6.144840296290208670e+00 8.033603333712271422e+01 -2.123520116006347109e+02 -9.817478287303083562e+01 7.600000000000000000e+01 1.000000000000000000e+00
2.508378849285883283e-01 1.240052106758216866e+01 -2.214215751207254668e-01 6.217272184091769738e+00 8.058551217252060894e+01 -2.119534918601192715e+02 -9.758590872411254225e+01 7.700000000000000000e+01 1.000000000000000000e+00
7.458232264537126843e-01 1.335089308674238850e+01 -3.408173053223874760e+00 4.474574488236790160e+00 4.174880960421758402e+01 -2.060288191863079703e+02 -1.178048884524316691e+02 1.519600000000000000e+04 1.000000000000000000e+00
2.644647219895274182e-01 1.001819355874902406e+01 4.587000833542728806e+00 8.214849094232096860e+00 1.304979755097447480e+02 -2.030423274471465618e+02 -5.615159031331941009e+01 7.900000000000000000e+01 1.000000000000000000e+00
2.975592079042645999e-01 1.318926275846998131e+01 -2.673863455095923491e+00 4.907652228488098345e+00 5.223819136283320574e+01 -2.082586546966321634e+02 -1.132434203002052442e+02 8.000000000000000000e+01 1.000000000000000000e+00
8.354100981449548158e-01 1.130368933671898013e+01 2.339851295688563315e+00 7.381115049212828794e+00 1.085502417042512775e+02 -2.100340578074853397e+02 -7.727875311159371563e+01 8.100000000000000000e+01 1.000000000000000000e+00
8.147063281818908154e-01 1.338609253286033685e+01 -3.653043064945799223e+00 4.352899775092929247e+00 3.922068704362944658e+01 -2.051271536677102745e+02 -1.190662901455872174e+02 8.200000000000000000e+01 1.000000000000000000e+00
5.587078049733772422e-01 9.910986542975690483e+00 4.759397367388689126e+00 8.205689929946142769e+00 1.334353236374960545e+02 -2.020301824330639420e+02 -5.408230069164208231e+01 8.300000000000000000e+01 1.000000000000000000e+00
1.250684509950101608e+00 1.242200347754106105e+01 -2.240004258686153493e-01 6.229501329716088165e+00 8.079613923754567395e+01 -2.117044311596932857e+02 -9.732638258652524144e+01 1.623000000000000000e+03 1.000000000000000000e+00
3.883269961389258507e-01 1.125059248486847707e+01 2.486281675624596676e+00 7.418857876177721522e+00 1.099210413965906241e+02 -2.098410529711256629e+02 -7.584812076552202598e+01 8.500000000000000000e+01 1.000000000000000000e+00
5.379637456367015735e-01 1.332215018564900966e+01 -3.411327766348838608e+00 4.422901671768201481e+00 4.240275951798417253e+01 -2.064757959780178851e+02 -1.183085423108298357e+02 8.600000000000000000e+01 1.000000000000000000e+00
3.736948485938232922e-01 1.092358972980289700e+01 3.127227005405471161e+00 7.563478552023309653e+00 1.169624368170496211e+02 -2.081437306532357354e+02 -7.141627352635568116e+01 8.700000000000000000e+01 1.000000000000000000e+00
2.580429120149161371e-01 1.171432562157555779e+01 1.597252140261383291e+00 7.044473702799791681e+00 1.005387679546165600e+02 -2.109346649973445835e+02 -8.392101230274388968e+01 8.800000000000000000e+01 1.000000000000000000e+00
9.499799721655033391e-01 1.178841059487072052e+01 1.354125871286530947e+00 6.974612103818009778e+00 9.804055042111355078e+01 -2.115673490900009313e+02 -8.514588866451352089e+01 8.900000000000000000e+01 1.000000000000000000e+00
1.141656038510066584e-01 1.273009000215898645e+01 -1.115192260435279747e+00 5.698467781866442650e+00 6.967576974901386677e+01 -2.114235360897904457e+02 -1.046262400966858337e+02 9.000000000000000000e+01 1.000000000000000000e+00
6.441462525118253346e-01 1.176079357500798750e+01 1.480669521537582689e+00 7.026952570527248199e+00 9.953681953306458752e+01 -2.110634120718439988e+02 -8.418566553119696039e+01 9.100000000000000000e+01 1.000000000000000000e+00
